0.181,12.4,19.102,90,0,1.882,-10.132,3.2,98
0.183,12.4,19.102,90,0,1.908,-10.036,3.30,98
0.185,12.4,19.102,90,0,1.909,-9.951,3.32,98
0.188,12.4,19.102,90,0,1.935,-9.831,3.35,98
0.19,12.4,19.102,90,0,1.936,-9.734,3.39,98
0.192,12.4,19.102,90,0,1.949,-9.639,3.38,98
0.194,12.4,19.102,90,0,1.986,-9.555,3.38,98
0.196,12.4,19.102,90,0,1.975,-9.471,3.39,98
0.198,12.4,19.102,90,0,1.976,-9.386,3.,98
0.2,12.4,19.102,90,0,1.965,-9.315,3.35,98
0.202,20.7,19.102,90,0,1.941,-9.231,3.29,98
0.204,20.7,19.102,90,0,1.917,-9.172,3.22,98
0.206,20.7,19.102,90,0,1.882,-9.088,3.17,98
0.208,20.7,19.102,90,0,1.821,-9.004,3.11,98
0.21,20.7,19.102,90,0,1.81,-8.921,3.05,98
0.212,20.7,19.102,90,0,1.75,-8.836,2.99,98
0.214,20.7,19.102,90,0,1.702,-8.775,2.97,98
0.216,20.7,19.102,90,0,1.702,-8.74,2.94,98
0.218,20.7,19.102,90,0,1.69,-8.704,2.93,98
0.22,20.7,19.102,90,0,1.691,-8.68,2.92,98
0.222,20.7,19.102,90,0,1.666,-8.679,2.93,98
0.224,20.7,19.102,90,0,1.691,-8.68,2.93,98
0.226,20.7,19.102,90,0,1.715,-8.716,2.9,98
0.228,20.7,19.102,90,0,1.714,-8.74,2.97,98
0.23,20.7,19.102,90,0,1.677,-8.75,2.99,98
0.232,20.7,19.102,90,0,1.628,-8.797,3.01,98
0.234,20.7,19.102,90,0,1.566,-8.842,3.08,98
0.236,20.7,19.102,90,0,1.517,-8.888,3.1,98
0.238,20.7,19.102,90,0,1.516,-8.958,3.24,98
0.24,20.7,19.102,90,0,1.551,-9.053,3.33,98
0.242,20.7,19.102,90,0,1.586,-9.172,3.44,98
0.244,20.7,19.102,90,0,1.61,-9.267,3.56,98
0.246,20.7,19.102,90,0,1.633,-9.41,3.64,98
